NAZWA_TOWARU,KOD,ILOSC,nr z odkupu
Filtr kabinowy B44008PR,IC-A8FE13,1,14
Filtr kabinowy B40305PR K1232,IC-A94B5B,1,14
Filtr kabinowy B4F018PR K1122,IC-B46EB7,1,14
Filtr kabinowy B4F013CPR K1103A,IC-B46EC7,1,14
Filtr kabinowy B4G022PR K1251,IC-C3E2D0,1,14
Fltr kabinowy B40006PR K1166,IC-A94AD0,1,14
Filtr kabinowy B41018PR K1255,IC-AA0A95,1,14
Filtr kabinowy Filtron K1101,5904608081018,1,14
Filtr kabinowy B40501PR K1149,IC-A94B60,1,14
filtr kabinowy b43002pr K1112-2x,IC-A9013C,1,14
Filtr powietrza B2X058PR Ap 072/1,IC-B46EFE,1,14
Filtr powietrza B2P027PR AP 080/8,IC-AEF65B,1,14
Filtr powietrza Filtron AP 082,5904608000828,1,14
Filtr powietrza Filtron AP 082/2,5904608020826,1,14
Filtr powietrza Filtron AP 082/1,5904608010827,1,14
Filtr powietrza B2W023PR AP 063/1,IC-AA0F1C,2,14
Filtr powietrza Filtron AP 078/2,5904608030788,1,14
Filtr kabinowy B4W007PR K1037,IC-A9FCEC,1,14
Filtr powietrza B2P025PR AP 080/4,IC-AEF656,1,14
Filtr kabinowy B4R029PR-2X K1248-2X,IC-C3E2D5,2,14
15,15,15,15
Filtr kabinowy B4M019PR K1146,IC-BA119F,1,15
Filtr powietrza B2W010PR AP 063,IC-A9DE05,1,15
Filtr kabinowy B4G000PR K1008,IC-A9C475,1,15
Filtr powietrza Filtron AP 089,5904608000897,1,15
Filtr kabinowy B4B002CPR K1136A,IC-BDC005,1,15
Filtr kabinowy B4M010PR K1065,IC-AA0645,1,15
Filtr kabinowy B4W006PR K1024,IC-A9FCEB,1,15
Filtr kabinowy B4W005PR K1004,IC-A9FCEA,1,15
Filtr kabinowy Filtron K 1006,5904608010063,1,15
Filtr kabinowy B4G008PR K1010,IC-AA0CEC,1,15
Filtr kabinowy B4X003PR K1009,IC-A9FD60,1,15
Filtr powietrza B2P012PR Ap 021,IC-A9C547,1,15
Filtr powietrza B2F036PR AP091,IC-A9C489,1,15
Filtr powietrza B2C044PR AP 090/4,IC-BA1D51,1,15
Filtr powietrza B2G051PR AP 074/3,IC-AA1EF2,1,15
Filtr powietrza B2G064PR AP 074/4,IC-BA7B4F,1,15
Filtr kabinowy Filtron K1262-2x,5904608802620,1,15
Filtr powietrza B20006PR AP 082/4,IC-A94AAE,1,15
Filtr powietrza B20014PR AP 082/5,IC-A94AB3,1,15
Filtr powietrza B2X020PR AP071,IC-A9FD56,1,15
Filtr powietrza FILTRON AP 051/5,5904608060518,2,15
Filtr powietrza B2F002PR,IC-AEF6EA,1,15
Filtr powietrza B2G024PR,IC-AA017A,1,15
Filtr powietrza B2W012PR AP 060,IC-A9DE06,1,15
Filtr powietrza FILTRON AP071,5904608000712,1,15
Filtr kabinowy Filtron K1052,5904608010520,1,15
Filtr kabinowy B4F007PR,IC-AEF5DB,1,15
Filtr pow. kabinowy Knecht LA39,4009026069424,1,15
Filtr powietrza B2F032PR AP 077,IC-AEF6E8,1,15
Filtr powietrza FILTRON AP076,5904608000767,2,15
Filtr powietrza B2F031PR AP076,IC-A9C7B7,1,15
Filtr powietrza Filtron AP 080,5904608000804,1,15
16,16,16,16
Filtr kabinowy Filtron K1055,5904608010551,1,16
Filtr kabinowy B4A015PR K1118A,IC-AA0D89,1,16
Filtr powietrza B20028PR AP 051/8,IC-BDBFF6,1,16
Filtr powietrza FILTRON AP051/6,5904608070517,1,16
Filtr powietrza Filtron AP 051/4,5904608050519,3,16
Filtr powietrza B2P027PR AP 080/8,IC-AEF65B,1,16
Filtr powietrza B20004PR AP 082/2,IC-A94AAC,1,16
Filtr powietrza Filtron AP 080/9,5904608100801,1,16
Filtr kabinowy B4R027PR K1167,IC-AA06F6,1,16
Filtr kabinowy Filtron K1183,5904608801838,1,16
Filtr kabinowy B40004PR,IC-A94ACE,1,16
Filtr kabinowy B4R038PR,IC-E189FB,1,16
Filtr kabinowy B4G018PR K1154,IC-B46EE3,1,16
Filtr kabinowy B4V002PR K1117,IC-A9FC93,1,16
Filtr kabinowy B42006CPR,IC-AA0EEA,1,16
Filtr kabinowy B4F018PR K1122,IC-B46EB7,1,16
Filtr kabinowy B4X023PR K1121,IC-BDC004,1,16
Filtr pow. kabinowy Filtron K 1127,5904608081278,1,16
Filtr powietrza AP 075,5904608000750,1,16
Filtr powietrza FILTRON AP074/5,5904608060747,1,16
Filtr powietrza B2F032PR AP 077,IC-AEF6E8,1,16
Filtr powietrza B2G063PR Ap 074/6,IC-B46EE7,1,16
Filtr kabinowy B4P019CPR,IC-D098F6,1,16
Filtr kabinowy B4F021PR K1209,IC-B46F22,1,16
Filtr kabinowy B4X024CPR K1223A,IC-C3E2D8,1,16
Filtr kabinowy B4F020PR K1172,IC-B46F01,1,16
Filtr kabinowy B41002PR K1174,IC-A8FFE5,1,16
Filtr kabinowy B42013PR K1210,IC-AA0D7D,1,16
Filtr kabinowy B45007PR,IC-AA00E6,1,16
Filtr kabinowy B40513PR K1250,IC-C730B3,1,16
Filtr kabinowy B42011PR K1207,IC-A8FE0C,1,16
Filtr kabinowy B4F023PR K1228,IC-C3E2CF,1,16
Filtr powietrza B2G030PR AP 074,IC-AA017B,1,16
17,17,17,17
Filtr kabinowy B4P016CPR K1147A,IC-B4D534,1,17
Filtr kabinowy B4A016PR,IC-C3E2C7,1,17
Filtr kabinowy Filtron K1002,5904608010025,1,17
Filtr kabinowy B4X001PR K1002,IC-A9BFA8,2,17
Filtr kabinowy B4A000PR,IC-AE8101,1,17
Filtr pow. kabinowy Filtron K 1045,5904608010452,1,17
Filtr kabinowy Filtron K1051,5904608010513,1,17
Filtr kabinowy Filtron K 1047A,5904608110473,1,17
Filtr pow. kabinowy Filtron K 1127,5904608081278,1,17
Filtr kabinowy B4V000PR K1126,IC-A9FC92,1,17
Filtr pow. kabinowy Filtron K 1046,5904608010469,1,17
Filtr kabinowy Filtron K1097,5904608080974,1,17
Filtr powietrza B2W012PR AP060,IC-A900D4,1,17
Filtr pow. kabinowy Filtron K 1095,5904608080950,1,17
Filtr kabinowy Filtron K 1093,5904608080936,1,17
Filtr kabinowy Filtron K 1022,5904608010223,1,17
Filtr kabinowy Filtron K1014,5904608010148,1,17
Filtr kabinowy Filtron K1030,5904608010308,2,17
Filtr pow. kabinowy Filtron K 1027,5904608010278,1,17
Filtr kabinowy B4R003PR K1023,IC-AE7CF4,2,17
Filtr kabinowy B4D002CPR K1035A,C-AA05F3,1,17
Filtr kabinowy B4A003PR K1032,IC-AEF60C,2,17
Filtr kabinowy B4C011PR K1128,IC-BA109B,1,17
LA167,4009026509166,1,17
Filtr kabinowy B4M027CPR,IC-BA87D2,1,17
Filtr kabinowy Filtron K1232,5904608802323,1,17
Filtr kabinowy B4M028CPR-2x,IC-BE3A69,1,17
Filtr kabinowy B40309PR K1245 K1277,IC-B2B07F,3,17
Filtr kabinowy B4C014CPR K1247A,IC-C3E2CD,1,17
Filtr kabinowy B4G020PR K1150,IC-B46EDA,1,17
Filtr kabinowy B4G018PR K1154,IC-B46EE3,1,17
Filtr kabinowy B44003PR,IC-A9017C,1,17
Filtr kabinowy Filtron K1287,5904608802873,1,17
Filtr kabinowy B4W024CPR,IC-D0B3AB,1,17
Filtr kabinowy B44017PR,IC-B3B3C5,1,17
Filtr kabinowy Filtron K1323,5904608803238,1,17
Filtr kabinowy B4W021PR K1313,IC-C6BA3D,1,17
18,18,18,18
Castrol Magnatec SS A3/B4 5W30 1l,4008177155741,3,18
Castrol Magnatec 5W40 C3 1l,4008177155581,1,18
Castrol Magnatec SS A5 5W30 1l,4008177157264,1,18
HELIX ULTRA ECT C3 1L,5011987047365,2,18
HELIX ULTRA 5W40 1L,5011987062924,1,18
HELIX HX7 10W40 1L,5011987860568,1,18
EVO 700 STI 10W40 1L,3267025011177,3,18
Mobil Extra 2T 1l,5055107456842,2,18
Mobil 5W30 ESP 1l,5425037869454,1,18
MOBIL 1 FS X1 5W50 1L,5425037864664,2,18
M-SUP 2000 X1 10W40 1L,5055107435144,1,18
Castrol EDGE 5W40 1l,4008177077289,1,18
Total 5W30 INEO ECS 1l,3425901107622,2,18
QUARTZ 9000 EN. 5W40 1L,3425901107592,1,18
LHM PLUS 1L,3425901111070,1,18
19,19,19,19
PLAT CL.5W40 1L,5901001772840,2,19
ORLEN OIL MIXOL S 1L,5901001766153,6,19
Orlen HIPOL ATF II D 1L,5901001767044,1,19
Shell Helix HX7 5W40 4l,5011987248748,1,19
HELIX HX7 10W40 4L,5011987247932,1,19
MOBIL 1 ESP 5W30 4L,5425037869522,2,19
20,20,20,20
MAGNATEC 5W30 A5 SS 4L,4008177157271,1,20
MAGNATEC 5W40 C3 4L,4008177155598,1,20
HELIX ULTRA 5W40 4L,5011987063419,1,20
M-SUP 3000 X1 5W40 4L+1L,5407005864463,1,20
MOBIL 1 FS X1 5W50 4L,5055107436141,1,20
M-SUP 3000 XE1 5W30 4L,5407004032955,1,20
QUARTZ INEO ECS 5W30 5L,3425901106939,1,20
QUARTZ 9000 EN. 5W40 5L,3425901107035,1,20
QUARTZ 7000 10W40 5L,3425900000344,1,20
"PLAT CL.5W40 4,5L",5901001772857,1,20
Castrol EDGE 5W40 4l,4008177077319,2,20
EVO 900 NF 5W40 4L,3425901108957,1,20
